time,grid,algorithm,program,dt,max_elev__change,mean_elev__change,local_elev__max_change,net_flux,hack_ka,hack_h,mean_length,max_length
1.00E+05,voronoi,explicit,child,250,40,38.466,43.409,,29.669,1.4528,6213.104374,11387.60669
2.00E+05,voronoi,explicit,child,250,40,36.383,42.592,0.84156,29.669,1.4528,6213.104374,11387.60669
3.00E+05,voronoi,explicit,child,250,40,33.391,43.058,1.2089,29.669,1.4528,6213.104374,11387.60669
4.00E+05,voronoi,explicit,child,250,40,29.648,42.522,1.5123,29.669,1.4528,6213.104374,11387.60669
5.00E+05,voronoi,explicit,child,250,40,25.431,41.669,1.7037,29.669,1.4528,6213.104374,11387.60669
6.00E+05,voronoi,explicit,child,250,40,21.058,41.943,1.7668,29.669,1.4528,6213.104374,11387.60669
7.00E+05,voronoi,explicit,child,250,40,16.829,42.825,1.7085,29.669,1.4528,6213.104374,11387.60669
8.00E+05,voronoi,explicit,child,250,40,12.991,42.906,1.5506,29.669,1.4528,6213.104374,11387.60669
9.00E+05,voronoi,explicit,child,250,39.993,9.7017,42.012,1.3289,29.669,1.4528,6213.104374,11387.60669
1.00E+06,voronoi,explicit,child,250,39.921,7.0227,40.869,1.0823,29.669,1.4528,6213.104374,11387.60669
1.10E+06,voronoi,explicit,child,250,39.575,4.9462,39.752,0.83894,29.669,1.4528,6213.104374,11387.60669
1.20E+06,voronoi,explicit,child,250,38.562,3.3986,38.643,0.62524,29.669,1.4528,6213.104374,11387.60669
1.30E+06,voronoi,explicit,child,250,35.828,2.2858,36.289,0.44957,29.669,1.4528,6213.104374,11387.60669
1.40E+06,voronoi,explicit,child,250,32.171,1.5094,32.507,0.31369,29.669,1.4528,6213.104374,11387.60669
1.50E+06,voronoi,explicit,child,250,27.271,0.98065,34.623,0.2136,29.669,1.4528,6213.104374,11387.60669
1.60E+06,voronoi,explicit,child,250,22.701,0.62757,28.724,0.14265,29.669,1.4528,6213.104374,11387.60669
1.70E+06,voronoi,explicit,child,250,18.079,0.39744,21.823,0.092972,29.669,1.4528,6213.104374,11387.60669
1.80E+06,voronoi,explicit,child,250,13.712,0.2488,20.423,0.060055,29.669,1.4528,6213.104374,11387.60669
1.90E+06,voronoi,explicit,child,250,10.065,0.15283,23.933,0.038771,29.669,1.4528,6213.104374,11387.60669
2.00E+06,voronoi,explicit,child,250,7.1773,0.092148,22.08,0.024516,29.669,1.4528,6213.104374,11387.60669
2.10E+06,voronoi,explicit,child,250,4.9848,0.054156,30.157,0.015349,29.669,1.4528,6213.104374,11387.60669
2.20E+06,voronoi,explicit,child,250,3.378,0.030059,27.97,0.0097355,29.669,1.4528,6213.104374,11387.60669
2.30E+06,voronoi,explicit,child,250,2.2362,0.015643,19.014,0.0058243,29.669,1.4528,6213.104374,11387.60669
2.40E+06,voronoi,explicit,child,250,1.4472,0.0070588,25.495,0.0034679,29.669,1.4528,6213.104374,11387.60669
2.50E+06,voronoi,explicit,child,250,0.91608,0.0020244,18.649,0.0020339,29.669,1.4528,6213.104374,11387.60669
2.60E+06,voronoi,explicit,child,250,0.56701,0.0010099,24.646,0.0012259,29.669,1.4528,6213.104374,11387.60669
2.70E+06,voronoi,explicit,child,250,0.34269,0.0026327,25.513,0.00065563,29.669,1.4528,6213.104374,11387.60669
2.80E+06,voronoi,explicit,child,250,0.20138,0.003822,19.653,0.00048051,29.669,1.4528,6213.104374,11387.60669
2.90E+06,voronoi,explicit,child,250,0.11355,0.0046222,28.308,0.00032329,29.669,1.4528,6213.104374,11387.60669
3.00E+06,voronoi,explicit,child,250,0.059064,0.0050085,20.096,0.00015608,29.669,1.4528,6213.104374,11387.60669
3.10E+06,voronoi,explicit,child,250,0.025009,0.0054012,24.807,0.00015863,29.669,1.4528,6213.104374,11387.60669
3.20E+06,voronoi,explicit,child,250,0.003837,0.0057892,47.143,0.00015676,29.669,1.4528,6213.104374,11387.60669
3.30E+06,voronoi,explicit,child,250,0.0087296,0.006012,39.031,9.00E-05,29.669,1.4528,6213.104374,11387.60669
3.40E+06,voronoi,explicit,child,250,0.015524,0.0060421,26.998,1.22E-05,29.669,1.4528,6213.104374,11387.60669
3.50E+06,voronoi,explicit,child,250,0.018802,0.006049,21.562,2.80E-06,29.669,1.4528,6213.104374,11387.60669
3.60E+06,voronoi,explicit,child,250,0.020195,0.0059073,19.56,5.72E-05,29.669,1.4528,6213.104374,11387.60669
3.70E+06,voronoi,explicit,child,250,0.020502,0.0050773,21.596,0.00033536,29.669,1.4528,6213.104374,11387.60669
3.80E+06,voronoi,explicit,child,250,0.019918,0.0046424,19.316,0.0001757,29.669,1.4528,6213.104374,11387.60669
3.90E+06,voronoi,explicit,child,250,0.018566,0.0058605,21.584,0.00049212,29.669,1.4528,6213.104374,11387.60669
4.00E+06,voronoi,explicit,child,250,0.016781,0.0063254,37.859,0.00018783,29.669,1.4528,6213.104374,11387.60669
4.10E+06,voronoi,explicit,child,250,0.015017,0.006643,37.461,,29.669,1.4528,6213.104374,11387.60669
4.20E+06,voronoi,explicit,child,250,0.013668,0.006188,30.483,0.0001838,29.669,1.4528,6213.104374,11387.60669
4.30E+06,voronoi,explicit,child,250,0.013005,0.0059486,32.675,9.67E-05,29.669,1.4528,6213.104374,11387.60669
4.40E+06,voronoi,explicit,child,250,0.013091,0.0062356,25.276,0.00011593,29.669,1.4528,6213.104374,11387.60669
4.50E+06,voronoi,explicit,child,250,0.01371,0.0051668,30.051,0.00043181,29.669,1.4528,6213.104374,11387.60669
4.60E+06,voronoi,explicit,child,250,0.014546,0.0045221,18.553,0.00026046,29.669,1.4528,6213.104374,11387.60669
4.70E+06,voronoi,explicit,child,250,0.015392,0.0042078,26.704,0.00012698,29.669,1.4528,6213.104374,11387.60669
4.80E+06,voronoi,explicit,child,250,0.016118,0.0035393,26.086,0.00027006,29.669,1.4528,6213.104374,11387.60669
4.90E+06,voronoi,explicit,child,250,0.016581,0.0036992,26.295,6.46E-05,29.669,1.4528,6213.104374,11387.60669
5.00E+06,voronoi,explicit,child,250,0.016681,0.003412,19.243,0.00011604,29.669,1.4528,6213.104374,11387.60669
5.10E+06,voronoi,explicit,child,250,0.016408,0.0027374,16.085,0.00027254,29.669,1.4528,6213.104374,11387.60669
5.20E+06,voronoi,explicit,child,250,0.0158,0.0025915,15.392,5.89E-05,29.669,1.4528,6213.104374,11387.60669
5.30E+06,voronoi,explicit,child,250,0.014945,0.0026259,13.204,1.39E-05,29.669,1.4528,6213.104374,11387.60669
5.40E+06,voronoi,explicit,child,250,0.014032,0.0023655,15.042,0.0001052,29.669,1.4528,6213.104374,11387.60669
5.50E+06,voronoi,explicit,child,250,0.013383,0.0022263,18.238,5.63E-05,29.669,1.4528,6213.104374,11387.60669
5.60E+06,voronoi,explicit,child,250,0.013342,0.0017757,15.631,0.00018203,29.669,1.4528,6213.104374,11387.60669
5.70E+06,voronoi,explicit,child,250,0.013999,0.0014483,15.98,0.00013229,29.669,1.4528,6213.104374,11387.60669
5.80E+06,voronoi,explicit,child,250,0.014997,0.0011455,16.348,0.0001223,29.669,1.4528,6213.104374,11387.60669
5.90E+06,voronoi,explicit,child,250,0.015644,0.00094528,14.217,8.09E-05,29.669,1.4528,6213.104374,11387.60669
6.00E+06,voronoi,explicit,child,250,0.015299,0.00078308,16.931,6.55E-05,29.669,1.4528,6213.104374,11387.60669
6.10E+06,voronoi,explicit,child,250,0.013772,0.00067882,15.561,4.21E-05,29.669,1.4528,6213.104374,11387.60669
6.20E+06,voronoi,explicit,child,250,0.011453,0.0010499,17.62,0.00014993,29.669,1.4528,6213.104374,11387.60669
6.30E+06,voronoi,explicit,child,250,0.0090483,0.00076004,20.623,0.00011712,29.669,1.4528,6213.104374,11387.60669
6.40E+06,voronoi,explicit,child,250,0.0071537,0.0011846,17.556,0.00017153,29.669,1.4528,6213.104374,11387.60669
6.50E+06,voronoi,explicit,child,250,0.0060144,0.0019192,29.618,0.00029679,29.669,1.4528,6213.104374,11387.60669
6.60E+06,voronoi,explicit,child,250,0.0056075,0.0020414,20.628,4.94E-05,29.669,1.4528,6213.104374,11387.60669
6.70E+06,voronoi,explicit,child,250,0.0058007,0.0018124,15.845,9.25E-05,29.669,1.4528,6213.104374,11387.60669
6.80E+06,voronoi,explicit,child,250,0.0063882,0.0016849,15.677,5.15E-05,29.669,1.4528,6213.104374,11387.60669
6.90E+06,voronoi,explicit,child,250,0.0070666,0.0014151,14.378,0.00010901,29.669,1.4528,6213.104374,11387.60669
7.00E+06,voronoi,explicit,child,250,0.0074975,0.0012645,10.349,6.09E-05,29.669,1.4528,6213.104374,11387.60669
7.10E+06,voronoi,explicit,child,250,0.0074528,0.0013596,15.2,3.84E-05,29.669,1.4528,6213.104374,11387.60669
7.20E+06,voronoi,explicit,child,250,0.0069034,0.0015858,15.364,9.14E-05,29.669,1.4528,6213.104374,11387.60669
7.30E+06,voronoi,explicit,child,250,0.0059859,0.0014307,14.998,6.27E-05,29.669,1.4528,6213.104374,11387.60669
7.40E+06,voronoi,explicit,child,250,0.004901,0.0011302,10.359,0.00012139,29.669,1.4528,6213.104374,11387.60669
7.50E+06,voronoi,explicit,child,250,0.0038252,0.0012507,16.322,4.87E-05,29.669,1.4528,6213.104374,11387.60669
7.60E+06,voronoi,explicit,child,250,0.0028712,0.0011518,12.44,4.00E-05,29.669,1.4528,6213.104374,11387.60669
7.70E+06,voronoi,explicit,child,250,0.0020883,0.00096516,14.107,7.54E-05,29.669,1.4528,6213.104374,11387.60669
7.80E+06,voronoi,explicit,child,250,0.0014811,0.00083786,17.644,5.14E-05,29.669,1.4528,6213.104374,11387.60669
7.90E+06,voronoi,explicit,child,250,0.0010296,0.00095071,17.637,4.56E-05,29.669,1.4528,6213.104374,11387.60669
8.00E+06,voronoi,explicit,child,250,0.00070431,0.00083776,10.671,4.56E-05,29.669,1.4528,6213.104374,11387.60669
8.10E+06,voronoi,explicit,child,250,0.00047565,0.00072184,13.404,4.68E-05,29.669,1.4528,6213.104374,11387.60669
8.20E+06,voronoi,explicit,child,250,0.00031795,0.00053887,15.397,7.39E-05,29.669,1.4528,6213.104374,11387.60669
8.30E+06,voronoi,explicit,child,250,0.00021078,0.00037451,9.7967,6.64E-05,29.669,1.4528,6213.104374,11387.60669
8.40E+06,voronoi,explicit,child,250,0.0001388,0.00036454,17.416,4.03E-06,29.669,1.4528,6213.104374,11387.60669
8.50E+06,voronoi,explicit,child,250,9.09E-05,0.00029075,10.617,2.98E-05,29.669,1.4528,6213.104374,11387.60669
8.60E+06,voronoi,explicit,child,250,5.93E-05,0.00023637,8.1744,2.20E-05,29.669,1.4528,6213.104374,11387.60669
8.70E+06,voronoi,explicit,child,250,3.85E-05,0.00019511,7.0114,1.67E-05,29.669,1.4528,6213.104374,11387.60669
8.80E+06,voronoi,explicit,child,250,2.50E-05,0.0001626,5.5457,1.31E-05,29.669,1.4528,6213.104374,11387.60669
8.90E+06,voronoi,explicit,child,250,1.61E-05,0.00013539,4.1663,1.10E-05,29.669,1.4528,6213.104374,11387.60669
9.00E+06,voronoi,explicit,child,250,1.04E-05,0.00011113,3.0168,9.80E-06,29.669,1.4528,6213.104374,11387.60669
9.10E+06,voronoi,explicit,child,250,6.71E-06,8.88E-05,2.1241,9.02E-06,29.669,1.4528,6213.104374,11387.60669
9.20E+06,voronoi,explicit,child,250,4.31E-06,6.85E-05,1.4632,8.19E-06,29.669,1.4528,6213.104374,11387.60669
9.30E+06,voronoi,explicit,child,250,2.77E-06,5.10E-05,0.99091,7.10E-06,29.669,1.4528,6213.104374,11387.60669
9.40E+06,voronoi,explicit,child,250,1.78E-06,3.66E-05,0.66218,5.79E-06,29.669,1.4528,6213.104374,11387.60669
9.50E+06,voronoi,explicit,child,250,1.14E-06,2.56E-05,0.43797,4.47E-06,29.669,1.4528,6213.104374,11387.60669
9.60E+06,voronoi,explicit,child,250,7.32E-07,1.74E-05,0.28738,3.28E-06,29.669,1.4528,6213.104374,11387.60669
9.70E+06,voronoi,explicit,child,250,4.69E-07,1.17E-05,0.18742,2.32E-06,29.669,1.4528,6213.104374,11387.60669
9.80E+06,voronoi,explicit,child,250,3.01E-07,7.74E-06,0.12166,1.60E-06,29.669,1.4528,6213.104374,11387.60669
9.90E+06,voronoi,explicit,child,250,1.92E-07,5.07E-06,0.078694,1.08E-06,29.669,1.4528,6213.104374,11387.60669
1.00E+07,voronoi,explicit,child,250,1.23E-07,3.30E-06,0.050762,7.16E-07,29.669,1.4528,6213.104374,11387.60669
1.01E+07,voronoi,explicit,child,250,7.90E-08,2.14E-06,0.032675,4.70E-07,29.669,1.4528,6213.104374,11387.60669
1.02E+07,voronoi,explicit,child,250,5.00E-08,1.38E-06,0.020999,3.07E-07,29.669,1.4528,6213.104374,11387.60669
1.03E+07,voronoi,explicit,child,250,3.20E-08,8.88E-07,0.013479,1.99E-07,29.669,1.4528,6213.104374,11387.60669
1.04E+07,voronoi,explicit,child,250,2.10E-08,5.70E-07,0.0086434,1.28E-07,29.669,1.4528,6213.104374,11387.60669
1.05E+07,voronoi,explicit,child,250,1.30E-08,3.65E-07,0.0055387,8.26E-08,29.669,1.4528,6213.104374,11387.60669
1.06E+07,voronoi,explicit,child,250,9.00E-09,2.34E-07,0.0035472,5.31E-08,29.669,1.4528,6213.104374,11387.60669
1.07E+07,voronoi,explicit,child,250,5.00E-09,1.50E-07,0.0022708,3.40E-08,29.669,1.4528,6213.104374,11387.60669
1.08E+07,voronoi,explicit,child,250,4.00E-09,9.57E-08,0.0014532,2.18E-08,29.669,1.4528,6213.104374,11387.60669
1.09E+07,voronoi,explicit,child,250,2.00E-09,6.11E-08,0.00092976,1.40E-08,29.669,1.4528,6213.104374,11387.60669
1.10E+07,voronoi,explicit,child,250,1.00E-09,3.91E-08,0.00059473,8.92E-09,29.669,1.4528,6213.104374,11387.60669
1.11E+07,voronoi,explicit,child,250,1.00E-09,2.50E-08,0.00038038,5.70E-09,29.669,1.4528,6213.104374,11387.60669
1.12E+07,voronoi,explicit,child,250,1.00E-09,1.59E-08,0.00024325,3.64E-09,29.669,1.4528,6213.104374,11387.60669
1.13E+07,voronoi,explicit,child,250,0,1.02E-08,0.00015554,2.33E-09,29.669,1.4528,6213.104374,11387.60669
1.14E+07,voronoi,explicit,child,250,0,6.50E-09,9.95E-05,1.49E-09,29.669,1.4528,6213.104374,11387.60669
1.15E+07,voronoi,explicit,child,250,0,4.15E-09,6.36E-05,9.49E-10,29.669,1.4528,6213.104374,11387.60669
1.16E+07,voronoi,explicit,child,250,0,2.65E-09,4.07E-05,6.06E-10,29.669,1.4528,6213.104374,11387.60669
1.17E+07,voronoi,explicit,child,250,1.00E-09,1.69E-09,2.60E-05,3.87E-10,29.669,1.4528,6213.104374,11387.60669
1.18E+07,voronoi,explicit,child,250,0,1.08E-09,1.66E-05,2.46E-10,29.669,1.4528,6213.104374,11387.60669
1.19E+07,voronoi,explicit,child,250,0,6.89E-10,1.06E-05,1.58E-10,29.669,1.4528,6213.104374,11387.60669
1.20E+07,voronoi,explicit,child,250,0,4.39E-10,6.79E-06,1.01E-10,29.669,1.4528,6213.104374,11387.60669
1.21E+07,voronoi,explicit,child,250,0,2.81E-10,4.34E-06,6.38E-11,29.669,1.4528,6213.104374,11387.60669
1.22E+07,voronoi,explicit,child,250,0,1.80E-10,2.78E-06,4.12E-11,29.669,1.4528,6213.104374,11387.60669
1.23E+07,voronoi,explicit,child,250,0,1.14E-10,1.77E-06,2.63E-11,29.669,1.4528,6213.104374,11387.60669
1.24E+07,voronoi,explicit,child,250,0,7.22E-11,1.13E-06,1.68E-11,29.669,1.4528,6213.104374,11387.60669
1.25E+07,voronoi,explicit,child,250,0,4.81E-11,7.25E-07,1.01E-11,29.669,1.4528,6213.104374,11387.60669
1.26E+07,voronoi,explicit,child,250,0,2.95E-11,4.63E-07,7.27E-12,29.669,1.4528,6213.104374,11387.60669
1.27E+07,voronoi,explicit,child,250,0,1.83E-11,2.96E-07,4.52E-12,29.669,1.4528,6213.104374,11387.60669
1.28E+07,voronoi,explicit,child,250,0,1.29E-11,1.90E-07,2.26E-12,29.669,1.4528,6213.104374,11387.60669
1.29E+07,voronoi,explicit,child,250,0,7.39E-12,1.21E-07,2.23E-12,29.669,1.4528,6213.104374,11387.60669
1.30E+07,voronoi,explicit,child,250,0,5.00E-12,7.70E-08,8.90E-13,29.669,1.4528,6213.104374,11387.60669
1.31E+07,voronoi,explicit,child,250,0,3.01E-12,4.90E-08,8.00E-13,29.669,1.4528,6213.104374,11387.60669
1.32E+07,voronoi,explicit,child,250,0,1.71E-12,3.20E-08,5.90E-13,29.669,1.4528,6213.104374,11387.60669
1.33E+07,voronoi,explicit,child,250,0,1.76E-12,2.00E-08,3.00E-14,29.669,1.4528,6213.104374,11387.60669
1.34E+07,voronoi,explicit,child,250,0,4.55E-13,1.30E-08,5.20E-13,29.669,1.4528,6213.104374,11387.60669
1.35E+07,voronoi,explicit,child,250,0,1.14E-13,8.00E-09,1.50E-13,29.669,1.4528,6213.104374,11387.60669
1.36E+07,voronoi,explicit,child,250,0,4.55E-13,6.00E-09,1.50E-13,29.669,1.4528,6213.104374,11387.60669
1.37E+07,voronoi,explicit,child,250,0,0,3.00E-09,1.70E-13,29.669,1.4528,6213.104374,11387.60669
1.38E+07,voronoi,explicit,child,250,0,2.27E-13,2.00E-09,6.00E-14,29.669,1.4528,6213.104374,11387.60669
1.39E+07,voronoi,explicit,child,250,0,1.71E-13,2.00E-09,4.00E-14,29.669,1.4528,6213.104374,11387.60669
1.40E+07,voronoi,explicit,child,250,0,5.68E-14,1.00E-09,5.00E-14,29.669,1.4528,6213.104374,11387.60669
1.41E+07,voronoi,explicit,child,250,0,0,0,1.00E-14,29.669,1.4528,6213.104374,11387.60669
1.42E+07,voronoi,explicit,child,250,0,0,1.00E-09,5.68E-19,29.669,1.4528,6213.104374,11387.60669
1.43E+07,voronoi,explicit,child,250,0,5.68E-14,1.00E-09,2.00E-14,29.669,1.4528,6213.104374,11387.60669
1.44E+07,voronoi,explicit,child,250,0,0,1.00E-09,3.00E-14,29.669,1.4528,6213.104374,11387.60669
